,0,1,2,3
msfem.local_solver,umfpack,umfpack,umfpack,umfpack
msfem.local_solver_verbose,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,1059244,606360,433504,400512
global.meanPeakMemoryConsumption,917621,531059,392609,380726
msfem.local.solve_for_all_cells_max_usr_speedup,1.0,1.822,3.779,7.088
msfem.local.solve_for_all_cells_max_usr_parallel_efficiency,1.0,0.911,0.94475,0.886
msfem.local.solve_for_all_cells_max_usr_abspart,0.37,0.386,0.341,0.281
msfem.local.solve_for_all_cells_max_usr_wallpart,0.298,0.267,0.174,0.083
msfem.local.solve_for_all_cells_avg_usr_speedup,1.0,2.002,3.995,7.958
msfem.local.solve_for_all_cells_avg_usr_parallel_efficiency,1.0,1.001,0.99875,0.99475
msfem.local.solve_for_all_cells_avg_usr_abspart,0.277,0.267,0.264,0.25
msfem.local.solve_for_all_cells_avg_usr_wallpart,0.22,0.179,0.122,0.055
msfem.local.solve_for_all_cells_max_sys_speedup,1.0,1.92,3.232,5.408
msfem.local.solve_for_all_cells_max_sys_parallel_efficiency,1.0,0.96,0.808,0.676
msfem.local.solve_for_all_cells_max_sys_abspart,0.177,0.135,0.037,0.017
msfem.local.solve_for_all_cells_max_sys_wallpart,0.004,0.004,0.003,0.002
msfem.local.solve_for_all_cells_avg_sys_speedup,1.0,2.09,3.755,6.669
msfem.local.solve_for_all_cells_avg_sys_parallel_efficiency,1.0,1.045,0.93875,0.833625
msfem.local.solve_for_all_cells_avg_sys_abspart,0.328,0.273,0.09,0.05
msfem.local.solve_for_all_cells_avg_sys_wallpart,0.003,0.003,0.002,0.001
msfem.local.solve_for_all_cells_max_wall_speedup,1.0,1.819,3.776,7.068
msfem.local.solve_for_all_cells_max_wall_parallel_efficiency,1.0,0.9095,0.944,0.8835
msfem.local.solve_for_all_cells_max_wall_abspart,0.302,0.271,0.177,0.084
msfem.local.solve_for_all_cells_max_wall_wallpart,0.302,0.271,0.177,0.084
msfem.local.solve_for_all_cells_avg_wall_speedup,1.0,2.003,3.99,7.932
msfem.local.solve_for_all_cells_avg_wall_parallel_efficiency,1.0,1.0015,0.9975,0.9915
msfem.local.solve_for_all_cells_avg_wall_abspart,0.224,0.182,0.125,0.056
msfem.local.solve_for_all_cells_avg_wall_wallpart,0.224,0.182,0.125,0.056
msfem.local.solve_for_all_cells_max_usr_threadeff,0.986,0.985,0.986,0.983
msfem.local.solve_for_all_cells_avg_usr_threadeff,0.983,0.983,0.981,0.979
msfem.local_grids_max_usr_speedup,1.0,1.636,3.176,6.0
msfem.local_grids_max_usr_parallel_efficiency,1.0,0.818,0.794,0.75
msfem.local_grids_max_usr_abspart,0.001,0.001,0.001,0.001
msfem.local_grids_max_usr_wallpart,0.001,0.001,0.001,0.0
msfem.local_grids_avg_usr_speedup,1.0,1.975,3.941,7.868
msfem.local_grids_avg_usr_parallel_efficiency,1.0,0.9875,0.98525,0.9835
msfem.local_grids_avg_usr_abspart,0.001,0.001,0.001,0.001
msfem.local_grids_avg_usr_wallpart,0.001,0.0,0.0,0.0
