,0,1,2
proxy.add_max_sys_speedup,1.0,1.0,1.0
proxy.add_max_sys_parallel_efficiency,1.0,0.5,0.25
proxy.add_max_sys_abspart,0.008,0.013,0.018
proxy.add_max_sys_wallpart,0.0,0.0,0.0
proxy.add_avg_sys_speedup,1.0,2.011,4.21
proxy.add_avg_sys_parallel_efficiency,1.0,1.0055,1.0525
proxy.add_avg_sys_abspart,0.004,0.003,0.002
proxy.add_avg_sys_wallpart,0.0,0.0,0.0
proxy.add_max_wall_speedup,1.0,1.859,3.254
proxy.add_max_wall_parallel_efficiency,1.0,0.9295,0.8135
proxy.add_max_wall_abspart,0.029,0.028,0.016
proxy.add_max_wall_wallpart,0.029,0.028,0.016
proxy.add_avg_wall_speedup,1.0,1.997,4.006
proxy.add_avg_wall_parallel_efficiency,1.0,0.9985,1.0015
proxy.add_avg_wall_abspart,0.028,0.025,0.012
proxy.add_avg_wall_wallpart,0.028,0.025,0.012
proxy.add_max_usr_threadeff,0.998,0.997,0.996
proxy.add_avg_usr_threadeff,0.997,0.997,0.997
msfem.Elliptic_MsFEM_Solver.apply_max_usr_speedup,1.0,1.991,3.45
msfem.Elliptic_MsFEM_Solver.apply_max_usr_parallel_efficiency,1.0,0.9955,0.8625
msfem.Elliptic_MsFEM_Solver.apply_max_usr_abspart,0.989,0.954,0.852
msfem.Elliptic_MsFEM_Solver.apply_max_usr_wallpart,0.941,0.84,0.484
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_speedup,1.0,1.994,3.474
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_parallel_efficiency,1.0,0.997,0.8685
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_abspart,0.998,0.994,0.958
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_wallpart,0.941,0.839,0.481
msfem.Elliptic_MsFEM_Solver.apply_max_sys_speedup,1.0,1.683,2.392
msfem.Elliptic_MsFEM_Solver.apply_max_sys_parallel_efficiency,1.0,0.8415,0.598
msfem.Elliptic_MsFEM_Solver.apply_max_sys_abspart,0.988,0.967,0.911
msfem.Elliptic_MsFEM_Solver.apply_max_sys_wallpart,0.006,0.006,0.004
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_speedup,1.0,1.791,2.913
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_parallel_efficiency,1.0,0.8955,0.72825
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_abspart,0.988,0.976,0.932
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_wallpart,0.005,0.005,0.003
msfem.Elliptic_MsFEM_Solver.apply_max_wall_speedup,1.0,1.99,3.447
msfem.Elliptic_MsFEM_Solver.apply_max_wall_parallel_efficiency,1.0,0.995,0.86175
msfem.Elliptic_MsFEM_Solver.apply_max_wall_abspart,0.948,0.847,0.488
msfem.Elliptic_MsFEM_Solver.apply_max_wall_wallpart,0.948,0.847,0.488
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_speedup,1.0,1.993,3.47
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_parallel_efficiency,1.0,0.9965,0.8675
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_abspart,0.948,0.846,0.486
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_wallpart,0.948,0.846,0.486
msfem.Elliptic_MsFEM_Solver.apply_max_usr_threadeff,0.993,0.992,0.992
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_threadeff,0.993,0.992,0.991
msfem.idFine_max_usr_speedup,1.0,1.916,3.731
msfem.idFine_max_usr_parallel_efficiency,1.0,0.958,0.93275
msfem.idFine_max_usr_abspart,0.019,0.019,0.015
msfem.idFine_max_usr_wallpart,0.018,0.017,0.008
msfem.idFine_avg_usr_speedup,1.0,1.999,4.003
msfem.idFine_avg_usr_parallel_efficiency,1.0,0.9995,1.00075
msfem.idFine_avg_usr_abspart,0.017,0.017,0.014
msfem.idFine_avg_usr_wallpart,0.016,0.014,0.007
msfem.idFine_max_sys_speedup,1.0,1.5,1.5
msfem.idFine_max_sys_parallel_efficiency,1.0,0.75,0.375
msfem.idFine_max_sys_abspart,0.012,0.013,0.018
msfem.idFine_max_sys_wallpart,0.0,0.0,0.0
msfem.idFine_avg_sys_speedup,1.0,1.921,3.766
msfem.idFine_avg_sys_parallel_efficiency,1.0,0.9605,0.9415
msfem.idFine_avg_sys_abspart,0.004,0.003,0.003
msfem.idFine_avg_sys_wallpart,0.0,0.0,0.0
msfem.idFine_max_wall_speedup,1.0,1.912,3.736
msfem.idFine_max_wall_parallel_efficiency,1.0,0.956,0.934
msfem.idFine_max_wall_abspart,0.018,0.017,0.008
msfem.idFine_max_wall_wallpart,0.018,0.017,0.008
msfem.idFine_avg_wall_speedup,1.0,1.999,4.004
msfem.idFine_avg_wall_parallel_efficiency,1.0,0.9995,1.001
msfem.idFine_avg_wall_abspart,0.016,0.014,0.007
