,0,1,2,3
msfem.local_solver_verbose,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,260512,205020,237748,303200
global.meanPeakMemoryConsumption,250231,197260,225041,296005
msfem.local_grids_max_usr_speedup,1.0,1.0,1.0,1.0
msfem.local_grids_max_usr_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.local_grids_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_usr_speedup,1.0,1.833,3.895,6.538
msfem.local_grids_avg_usr_parallel_efficiency,1.0,0.9165,0.97375,0.81725
msfem.local_grids_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.local_grids_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.local_grids_max_sys_abspart,0.004,0.005,0.009,0.014
msfem.local_grids_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_sys_speedup,1.0,2.988,8.939,11.235
msfem.local_grids_avg_sys_parallel_efficiency,1.0,1.494,2.23475,1.404375
msfem.local_grids_avg_sys_abspart,0.001,0.0,0.0,0.0
msfem.local_grids_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_max_wall_speedup,1.0,2.333,7.0,inf
msfem.local_grids_max_wall_parallel_efficiency,1.0,1.1665,1.75,inf
msfem.local_grids_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_wall_speedup,1.0,2.312,13.186,inf
msfem.local_grids_avg_wall_parallel_efficiency,1.0,1.156,3.2965,inf
msfem.local_grids_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.local_grids_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.local_grids_max_usr_threadeff,1.429,3.333,10.0,inf
msfem.local_grids_avg_usr_threadeff,0.809,1.021,2.74,inf
msfem.all_max_usr_speedup,1.0,1.712,2.875,4.538
msfem.all_max_usr_parallel_efficiency,1.0,0.856,0.71875,0.56725
msfem.all_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.948,0.907,0.698,0.392
msfem.all_avg_usr_speedup,1.0,1.901,3.126,6.23
msfem.all_avg_usr_parallel_efficiency,1.0,0.9505,0.7815,0.77875
msfem.all_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.94,0.81,0.637,0.284
msfem.all_max_sys_speedup,1.0,1.399,2.307,3.757
msfem.all_max_sys_parallel_efficiency,1.0,0.6995,0.57675,0.469625
msfem.all_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_max_sys_wallpart,0.006,0.007,0.005,0.003
msfem.all_avg_sys_speedup,1.0,1.691,2.635,4.744
