,0,1,2,3
msfem.local_solver_verbose,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,118492,112196,129672,194640
global.meanPeakMemoryConsumption,111640,105634,124873,188857
msfem.setup.problem_max_usr_speedup,1.0,1.0,1.0,1.0
msfem.setup.problem_max_usr_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.setup.problem_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_speedup,1.0,0.118,0.143,0.049
msfem.setup.problem_avg_usr_parallel_efficiency,1.0,0.059,0.03575,0.006125
msfem.setup.problem_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.setup.problem_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.setup.problem_max_sys_abspart,0.016,0.023,0.034,0.032
msfem.setup.problem_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_speedup,1.0,0.4,0.235,0.211
msfem.setup.problem_avg_sys_parallel_efficiency,1.0,0.2,0.05875,0.026375
msfem.setup.problem_avg_sys_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_speedup,,,,
msfem.setup.problem_max_wall_parallel_efficiency,,,,
msfem.setup.problem_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_speedup,,,,
msfem.setup.problem_avg_wall_parallel_efficiency,,,,
msfem.setup.problem_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_threadeff,inf,inf,inf,inf
msfem.setup.problem_avg_usr_threadeff,inf,inf,inf,inf
proxy.add_max_usr_speedup,1.0,2.151,3.305,6.775
proxy.add_max_usr_parallel_efficiency,1.0,1.0755,0.82625,0.846875
proxy.add_max_usr_abspart,0.03,0.023,0.022,0.011
proxy.add_max_usr_wallpart,0.026,0.016,0.009,0.003
proxy.add_avg_usr_speedup,1.0,2.002,4.001,8.033
proxy.add_avg_usr_parallel_efficiency,1.0,1.001,1.00025,1.004125
proxy.add_avg_usr_abspart,0.026,0.025,0.025,0.015
proxy.add_avg_usr_wallpart,0.021,0.014,0.006,0.002
proxy.add_max_sys_speedup,1.0,1.0,2.0,2.0
proxy.add_max_sys_parallel_efficiency,1.0,0.5,0.5,0.25
proxy.add_max_sys_abspart,0.032,0.047,0.034,0.032
proxy.add_max_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_avg_sys_speedup,1.0,1.944,4.118,8.995
proxy.add_avg_sys_parallel_efficiency,1.0,0.972,1.0295,1.124375
