,0,1,2,3
problem.name,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,72524,70404,68160,77264
global.meanPeakMemoryConsumption,57106,59363,63063,67635
msfem.coarse.assemble_max_usr_scaleup,1.0,1.111,0.788,0.59
msfem.coarse.assemble_max_usr_abspart,0.538,0.552,0.51,0.517
msfem.coarse.assemble_max_usr_wallpart,0.518,0.495,0.488,0.502
msfem.coarse.assemble_avg_usr_scaleup,1.0,0.999,0.543,0.547
msfem.coarse.assemble_avg_usr_abspart,0.364,0.406,0.506,0.391
msfem.coarse.assemble_avg_usr_wallpart,0.336,0.358,0.454,0.351
msfem.coarse.assemble_max_sys_scaleup,1.0,0.5,0.4,0.5
msfem.coarse.assemble_max_sys_abspart,0.049,0.095,0.102,0.063
msfem.coarse.assemble_max_sys_wallpart,0.0,0.001,0.001,0.0
msfem.coarse.assemble_avg_sys_scaleup,1.0,0.882,0.748,0.795
msfem.coarse.assemble_avg_sys_abspart,0.013,0.017,0.019,0.014
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_scaleup,1.0,1.112,0.789,0.591
msfem.coarse.assemble_max_wall_abspart,0.519,0.496,0.488,0.502
msfem.coarse.assemble_max_wall_wallpart,0.519,0.496,0.488,0.502
msfem.coarse.assemble_avg_wall_scaleup,1.0,0.999,0.544,0.548
msfem.coarse.assemble_avg_wall_abspart,0.336,0.359,0.454,0.351
msfem.coarse.assemble_avg_wall_wallpart,0.336,0.359,0.454,0.351
msfem.coarse.assemble_max_usr_threadeff,0.997,0.998,0.999,0.999
msfem.coarse.assemble_avg_usr_threadeff,0.998,0.997,0.999,0.999
msfem.all_max_usr_scaleup,1.0,1.14,0.747,0.567
msfem.all_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.963,0.897,0.956,0.97
msfem.all_avg_usr_scaleup,1.0,1.115,0.756,0.587
msfem.all_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.923,0.882,0.897,0.897
msfem.all_max_sys_scaleup,1.0,0.976,0.837,0.651
msfem.all_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_max_sys_wallpart,0.008,0.009,0.007,0.007
