,0,1,2,3,4
grids.total_fine_cells,8000000.0,13824000.0,21952000.0,32768000.0,46656000.0
grids.total_macro_cells,15625.0,27000.0,42875.0,64000.0,91125.0
logging.dir,logs,logs,logs,logs,logs
logging.file,msfem.log,msfem.log,msfem.log,msfem.log,msfem.log
logging.level,22.0,22.0,22.0,22.0,22.0
msfem.coarse_solver,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0
msfem.fem_comparison,1.0,1.0,1.0,1.0,1.0
msfem.local_corrections_vtk_output,0.0,0.0,0.0,0.0,0.0
msfem.local_solver,umfpack,umfpack,umfpack,umfpack,umfpack
msfem.local_solver_verbose,0.0,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0,0.0
private.int,5.0,6.0,7.0,8.0,9.0
private.power,125.0,216.0,343.0,512.0,729.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,72492,70468,73040,74004,80136
global.meanPeakMemoryConsumption,57099,59337,61852,65371,70369
msfem.algorithm_max_usr_scaleup,1.0,1.124,1.086,0.707,0.904
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.97,0.947,0.969,0.779,0.98
msfem.algorithm_avg_usr_scaleup,1.0,1.117,1.117,1.486,1.135
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.935,0.92,0.904,0.361,0.747
msfem.algorithm_max_sys_scaleup,1.0,1.024,1.0,0.764,0.977
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.008,0.009,0.009,0.006,0.008
msfem.algorithm_avg_sys_scaleup,1.0,1.114,1.086,1.388,1.092
msfem.algorithm_avg_sys_abspart,0.999,1.0,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.006,0.006,0.006,0.002,0.005
msfem.algorithm_max_wall_scaleup,1.0,1.097,1.084,0.568,0.913
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_scaleup,1.0,1.099,1.08,0.574,0.906
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_threadeff,0.97,0.947,0.969,0.779,0.98
msfem.algorithm_avg_usr_threadeff,0.935,0.92,0.904,0.361,0.747
proxy.add_max_usr_scaleup,1.0,1.104,1.104,1.48,1.138
proxy.add_max_usr_abspart,0.03,0.031,0.03,0.014,0.024
proxy.add_max_usr_wallpart,0.029,0.029,0.029,0.011,0.023
proxy.add_avg_usr_scaleup,1.0,0.999,1.0,0.999,0.998
proxy.add_avg_usr_abspart,0.02,0.022,0.022,0.03,0.023
proxy.add_avg_usr_wallpart,0.019,0.021,0.02,0.011,0.017
proxy.add_max_sys_scaleup,1.0,1.0,1.0,1.0,1.0
proxy.add_max_sys_abspart,0.024,0.024,0.024,0.018,0.023
proxy.add_max_sys_wallpart,0.0,0.0,0.0,0.0,0.0
proxy.add_avg_sys_scaleup,1.0,1.352,1.3,1.152,1.591
proxy.add_avg_sys_abspart,0.005,0.004,0.004,0.006,0.004
proxy.add_avg_sys_wallpart,0.0,0.0,0.0,0.0,0.0
proxy.add_max_wall_scaleup,1.0,1.11,1.107,1.486,1.144
proxy.add_max_wall_abspart,0.029,0.029,0.029,0.011,0.023
proxy.add_max_wall_wallpart,0.029,0.029,0.029,0.011,0.023
proxy.add_avg_wall_scaleup,1.0,0.999,1.0,0.999,0.998
proxy.add_avg_wall_abspart,0.019,0.021,0.02,0.011,0.017
proxy.add_avg_wall_wallpart,0.019,0.021,0.02,0.011,0.017
proxy.add_max_usr_threadeff,0.999,1.004,1.001,1.003,1.004
proxy.add_avg_usr_threadeff,0.998,0.998,0.997,0.997,0.997
msfem.local.solve_for_all_cells_max_usr_scaleup,1.0,1.123,1.121,1.528,1.199
msfem.local.solve_for_all_cells_max_usr_abspart,0.373,0.374,0.361,0.173,0.281
msfem.local.solve_for_all_cells_max_usr_wallpart,0.362,0.354,0.35,0.135,0.276
msfem.local.solve_for_all_cells_avg_usr_scaleup,1.0,1.019,1.031,1.043,1.05
msfem.local.solve_for_all_cells_avg_usr_abspart,0.223,0.245,0.242,0.318,0.241
msfem.local.solve_for_all_cells_avg_usr_wallpart,0.209,0.225,0.219,0.115,0.18
msfem.local.solve_for_all_cells_max_sys_scaleup,1.0,0.923,0.889,1.0,0.8
msfem.local.solve_for_all_cells_max_sys_abspart,0.571,0.634,0.643,0.436,0.698
msfem.local.solve_for_all_cells_max_sys_wallpart,0.005,0.006,0.006,0.003,0.005
msfem.local.solve_for_all_cells_avg_sys_scaleup,1.0,0.987,0.937,0.953,0.982
msfem.local.solve_for_all_cells_avg_sys_abspart,0.535,0.604,0.621,0.779,0.595
msfem.local.solve_for_all_cells_avg_sys_wallpart,0.003,0.003,0.003,0.002,0.003
msfem.local.solve_for_all_cells_max_wall_scaleup,1.0,1.119,1.12,1.522,1.2
msfem.local.solve_for_all_cells_max_wall_abspart,0.367,0.36,0.356,0.137,0.279
msfem.local.solve_for_all_cells_max_wall_wallpart,0.367,0.36,0.356,0.137,0.279
msfem.local.solve_for_all_cells_avg_wall_scaleup,1.0,1.018,1.03,1.042,1.049
msfem.local.solve_for_all_cells_avg_wall_abspart,0.212,0.229,0.223,0.117,0.184
msfem.local.solve_for_all_cells_avg_wall_wallpart,0.212,0.229,0.223,0.117,0.184
msfem.local.solve_for_all_cells_max_usr_threadeff,0.986,0.983,0.985,0.982,0.987
msfem.local.solve_for_all_cells_avg_usr_threadeff,0.983,0.982,0.981,0.981,0.982
msfem.idFine_max_usr_scaleup,1.0,1.12,1.105,1.527,1.151
msfem.idFine_max_usr_abspart,0.017,0.017,0.017,0.008,0.013
msfem.idFine_max_usr_wallpart,0.017,0.016,0.016,0.006,0.013
msfem.idFine_avg_usr_scaleup,1.0,1.001,1.0,1.001,0.998
msfem.idFine_avg_usr_abspart,0.011,0.013,0.013,0.017,0.013
msfem.idFine_avg_usr_wallpart,0.011,0.012,0.012,0.006,0.01
msfem.idFine_max_sys_scaleup,1.0,1.0,1.0,0.5,0.5
msfem.idFine_max_sys_abspart,0.024,0.024,0.024,0.036,0.047
msfem.idFine_max_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.idFine_avg_sys_scaleup,1.0,0.918,1.06,1.009,0.944
msfem.idFine_avg_sys_abspart,0.005,0.006,0.005,0.007,0.006
msfem.idFine_avg_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.idFine_max_wall_scaleup,1.0,1.097,1.107,1.524,1.14
msfem.idFine_max_wall_abspart,0.017,0.017,0.016,0.006,0.013
msfem.idFine_max_wall_wallpart,0.017,0.017,0.016,0.006,0.013
msfem.idFine_avg_wall_scaleup,1.0,1.001,1.0,1.001,0.998
msfem.idFine_avg_wall_abspart,0.011,0.012,0.012,0.006,0.01
msfem.idFine_avg_wall_wallpart,0.011,0.012,0.012,0.006,0.01
msfem.idFine_max_usr_threadeff,1.002,0.982,1.004,1.0,0.993
msfem.idFine_avg_usr_threadeff,0.996,0.995,0.996,0.996,0.996
msfem.all_max_usr_scaleup,1.0,1.124,1.086,0.707,0.904
msfem.all_max_usr_abspart,1.0,1.0,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.97,0.947,0.969,0.779,0.98
msfem.all_avg_usr_scaleup,1.0,1.117,1.117,1.486,1.135
msfem.all_avg_usr_abspart,1.0,1.0,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.935,0.92,0.904,0.361,0.747
msfem.all_max_sys_scaleup,1.0,1.024,1.0,0.764,0.977
msfem.all_max_sys_abspart,1.0,1.0,1.0,1.0,1.0
msfem.all_max_sys_wallpart,0.008,0.009,0.009,0.006,0.008
msfem.all_avg_sys_scaleup,1.0,1.114,1.087,1.388,1.093
msfem.all_avg_sys_abspart,1.0,1.0,1.0,1.0,1.0
msfem.all_avg_sys_wallpart,0.006,0.006,0.006,0.002,0.005
msfem.all_max_wall_scaleup,1.0,1.097,1.084,0.568,0.913
msfem.all_max_wall_abspart,1.0,1.0,1.0,1.0,1.0
msfem.all_max_wall_wallpart,1.0,1.0,1.0,1.0,1.0
msfem.all_avg_wall_scaleup,1.0,1.099,1.08,0.574,0.906
msfem.all_avg_wall_abspart,1.0,1.0,1.0,1.0,1.0
msfem.all_avg_wall_wallpart,1.0,1.0,1.0,1.0,1.0
msfem.all_max_usr_threadeff,0.97,0.947,0.969,0.779,0.98
msfem.all_avg_usr_threadeff,0.935,0.92,0.904,0.361,0.747
msfem.coarse.solve_max_usr_scaleup,1.0,1.123,1.096,8.724,1.252
msfem.coarse.solve_max_usr_abspart,0.516,0.517,0.511,0.042,0.373
msfem.coarse.solve_max_usr_wallpart,0.501,0.49,0.495,0.033,0.365
msfem.coarse.solve_avg_usr_scaleup,1.0,1.361,1.352,8.655,1.454
msfem.coarse.solve_avg_usr_abspart,0.375,0.308,0.31,0.064,0.293
msfem.coarse.solve_avg_usr_wallpart,0.351,0.283,0.28,0.023,0.219
msfem.coarse.solve_max_sys_scaleup,1.0,0.917,1.0,4.4,0.957
msfem.coarse.solve_max_sys_abspart,0.524,0.585,0.524,0.091,0.535
msfem.coarse.solve_max_sys_wallpart,0.004,0.005,0.005,0.001,0.004
msfem.coarse.solve_avg_sys_scaleup,1.0,1.417,1.474,8.346,1.434
msfem.coarse.solve_avg_sys_abspart,0.367,0.289,0.271,0.061,0.28
msfem.coarse.solve_avg_sys_wallpart,0.002,0.002,0.002,0.0,0.001
msfem.coarse.solve_max_wall_scaleup,1.0,1.124,1.096,8.718,1.257
msfem.coarse.solve_max_wall_abspart,0.505,0.493,0.5,0.033,0.367
msfem.coarse.solve_max_wall_wallpart,0.505,0.493,0.5,0.033,0.367
msfem.coarse.solve_avg_wall_scaleup,1.0,1.361,1.352,8.645,1.454
msfem.coarse.solve_avg_wall_abspart,0.354,0.286,0.282,0.024,0.22
msfem.coarse.solve_avg_wall_wallpart,0.354,0.286,0.282,0.024,0.22
msfem.coarse.solve_max_usr_threadeff,0.991,0.993,0.991,0.991,0.995
msfem.coarse.solve_avg_usr_threadeff,0.992,0.992,0.992,0.991,0.992
msfem.setup.problem_max_usr_scaleup,,,0.0,0.0,
msfem.setup.problem_max_usr_abspart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_scaleup,,,0.0,0.0,
msfem.setup.problem_avg_usr_abspart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_max_sys_scaleup,,,,,0.0
msfem.setup.problem_max_sys_abspart,0.0,0.0,0.0,0.0,0.023
msfem.setup.problem_max_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_scaleup,,,,,0.0
msfem.setup.problem_avg_sys_abspart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_scaleup,,,,,
msfem.setup.problem_max_wall_abspart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_scaleup,,,,,
msfem.setup.problem_avg_wall_abspart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_threadeff,,,inf,inf,
msfem.setup.problem_avg_usr_threadeff,,,inf,inf,
msfem.setup.grid_max_usr_scaleup,1.0,1.119,0.585,0.046,0.132
msfem.setup.grid_max_usr_abspart,0.037,0.037,0.068,0.56,0.249
msfem.setup.grid_max_usr_wallpart,0.035,0.035,0.066,0.436,0.244
msfem.setup.grid_avg_usr_scaleup,1.0,1.247,0.967,0.279,0.385
msfem.setup.grid_avg_usr_abspart,0.005,0.005,0.006,0.029,0.016
msfem.setup.grid_avg_usr_wallpart,0.005,0.004,0.006,0.011,0.012
msfem.setup.grid_max_sys_scaleup,1.0,0.857,0.857,0.143,0.316
msfem.setup.grid_max_sys_abspart,0.143,0.171,0.167,0.764,0.442
msfem.setup.grid_max_sys_wallpart,0.001,0.002,0.002,0.005,0.003
msfem.setup.grid_avg_sys_scaleup,1.0,0.933,0.936,0.775,0.772
msfem.setup.grid_avg_sys_abspart,0.065,0.078,0.076,0.117,0.093
msfem.setup.grid_avg_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.setup.grid_max_wall_scaleup,1.0,0.815,0.706,0.052,0.204
msfem.setup.grid_max_wall_abspart,0.056,0.076,0.087,0.615,0.253
msfem.setup.grid_max_wall_wallpart,0.056,0.076,0.087,0.615,0.253
msfem.setup.grid_avg_wall_scaleup,1.0,0.816,0.706,0.052,0.204
msfem.setup.grid_avg_wall_abspart,0.057,0.077,0.087,0.627,0.253
msfem.setup.grid_avg_wall_wallpart,0.057,0.077,0.087,0.627,0.253
msfem.setup.grid_max_usr_threadeff,0.629,0.458,0.759,0.709,0.967
msfem.setup.grid_avg_usr_threadeff,0.09,0.059,0.065,0.017,0.047
msfem.coarse.linearSolver_max_usr_scaleup,1.0,1.123,1.096,8.724,1.252
msfem.coarse.linearSolver_max_usr_abspart,0.516,0.517,0.511,0.042,0.373
msfem.coarse.linearSolver_max_usr_wallpart,0.501,0.49,0.495,0.033,0.365
msfem.coarse.linearSolver_avg_usr_scaleup,1.0,1.361,1.352,8.656,1.454
msfem.coarse.linearSolver_avg_usr_abspart,0.375,0.308,0.31,0.064,0.293
msfem.coarse.linearSolver_avg_usr_wallpart,0.351,0.283,0.28,0.023,0.219
msfem.coarse.linearSolver_max_sys_scaleup,1.0,0.917,1.0,4.4,0.957
msfem.coarse.linearSolver_max_sys_abspart,0.524,0.585,0.524,0.091,0.535
msfem.coarse.linearSolver_max_sys_wallpart,0.004,0.005,0.005,0.001,0.004
msfem.coarse.linearSolver_avg_sys_scaleup,1.0,1.417,1.474,8.346,1.434
msfem.coarse.linearSolver_avg_sys_abspart,0.367,0.289,0.271,0.061,0.28
msfem.coarse.linearSolver_avg_sys_wallpart,0.002,0.002,0.002,0.0,0.001
msfem.coarse.linearSolver_max_wall_scaleup,1.0,1.124,1.096,8.718,1.257
msfem.coarse.linearSolver_max_wall_abspart,0.505,0.493,0.5,0.033,0.367
msfem.coarse.linearSolver_max_wall_wallpart,0.505,0.493,0.5,0.033,0.367
msfem.coarse.linearSolver_avg_wall_scaleup,1.0,1.361,1.352,8.646,1.454
msfem.coarse.linearSolver_avg_wall_abspart,0.354,0.286,0.282,0.024,0.22
msfem.coarse.linearSolver_avg_wall_wallpart,0.354,0.286,0.282,0.024,0.22
msfem.coarse.linearSolver_max_usr_threadeff,0.991,0.993,0.991,0.991,0.995
msfem.coarse.linearSolver_avg_usr_threadeff,0.992,0.992,0.992,0.991,0.992
msfem.coarse.assemble_max_usr_scaleup,1.0,1.119,1.117,1.478,1.159
msfem.coarse.assemble_max_usr_abspart,0.545,0.547,0.529,0.26,0.425
msfem.coarse.assemble_max_usr_wallpart,0.528,0.518,0.513,0.203,0.416
msfem.coarse.assemble_avg_usr_scaleup,1.0,1.001,1.001,1.001,1.0
msfem.coarse.assemble_avg_usr_abspart,0.364,0.407,0.407,0.541,0.414
msfem.coarse.assemble_avg_usr_wallpart,0.341,0.374,0.368,0.196,0.309
msfem.coarse.assemble_max_sys_scaleup,1.0,1.0,1.0,1.0,1.0
msfem.coarse.assemble_max_sys_abspart,0.048,0.049,0.048,0.036,0.047
msfem.coarse.assemble_max_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.coarse.assemble_avg_sys_scaleup,1.0,1.241,0.959,0.99,0.921
msfem.coarse.assemble_avg_sys_abspart,0.014,0.013,0.016,0.02,0.017
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_scaleup,1.0,1.12,1.117,1.478,1.159
msfem.coarse.assemble_max_wall_abspart,0.53,0.519,0.514,0.203,0.417
msfem.coarse.assemble_max_wall_wallpart,0.53,0.519,0.514,0.203,0.417
msfem.coarse.assemble_avg_wall_scaleup,1.0,1.001,1.0,1.001,1.0
msfem.coarse.assemble_avg_wall_abspart,0.342,0.375,0.369,0.196,0.31
msfem.coarse.assemble_avg_wall_wallpart,0.342,0.375,0.369,0.196,0.31
msfem.coarse.assemble_max_usr_threadeff,0.998,0.998,0.997,0.997,0.998
msfem.coarse.assemble_avg_usr_threadeff,0.997,0.997,0.997,0.997,0.997
msfem.local_grids_max_usr_scaleup,1.0,1.0,1.0,1.0,1.0
msfem.local_grids_max_usr_abspart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_max_usr_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_avg_usr_scaleup,1.0,1.216,1.682,1.81,1.421
msfem.local_grids_avg_usr_abspart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_avg_usr_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_max_sys_scaleup,1.0,1.0,1.0,1.0,1.0
msfem.local_grids_max_sys_abspart,0.024,0.024,0.024,0.018,0.023
msfem.local_grids_max_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_avg_sys_scaleup,1.0,1.728,1.533,1.656,2.173
msfem.local_grids_avg_sys_abspart,0.005,0.003,0.004,0.005,0.003
msfem.local_grids_avg_sys_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_max_wall_scaleup,1.0,1.0,1.0,0.5,2.0
msfem.local_grids_max_wall_abspart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_max_wall_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_avg_wall_scaleup,1.0,1.184,1.158,1.07,1.125
msfem.local_grids_avg_wall_abspart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_avg_wall_wallpart,0.0,0.0,0.0,0.0,0.0
msfem.local_grids_max_usr_threadeff,5.0,5.0,5.0,2.5,10.0
msfem.local_grids_avg_usr_threadeff,1.407,1.371,0.969,0.832,1.114
msfem.Elliptic_MsFEM_Solver.apply_max_usr_scaleup,1.0,1.122,1.121,1.547,1.153
msfem.Elliptic_MsFEM_Solver.apply_max_usr_abspart,0.966,0.968,0.936,0.441,0.757
msfem.Elliptic_MsFEM_Solver.apply_max_usr_wallpart,0.937,0.917,0.907,0.344,0.742
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_scaleup,1.0,1.117,1.118,1.523,1.147
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_abspart,0.994,0.995,0.994,0.971,0.984
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_wallpart,0.93,0.915,0.898,0.351,0.735
msfem.Elliptic_MsFEM_Solver.apply_max_sys_scaleup,1.0,1.053,1.026,1.538,1.0
msfem.Elliptic_MsFEM_Solver.apply_max_sys_abspart,0.952,0.927,0.929,0.473,0.93
msfem.Elliptic_MsFEM_Solver.apply_max_sys_wallpart,0.008,0.008,0.008,0.003,0.007
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_scaleup,1.0,1.126,1.097,1.471,1.124
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_abspart,0.928,0.917,0.919,0.875,0.902
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_wallpart,0.005,0.005,0.005,0.002,0.004
msfem.Elliptic_MsFEM_Solver.apply_max_wall_scaleup,1.0,1.12,1.121,1.547,1.152
msfem.Elliptic_MsFEM_Solver.apply_max_wall_abspart,0.944,0.924,0.913,0.346,0.748
msfem.Elliptic_MsFEM_Solver.apply_max_wall_wallpart,0.944,0.924,0.913,0.346,0.748
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_scaleup,1.0,1.117,1.117,1.522,1.147
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_abspart,0.937,0.923,0.906,0.354,0.741
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_wallpart,0.937,0.923,0.906,0.354,0.741
msfem.Elliptic_MsFEM_Solver.apply_max_usr_threadeff,0.993,0.992,0.993,0.993,0.993
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_threadeff,0.992,0.992,0.992,0.991,0.992
remainder,0.09200000000000008,0.10999999999999999,0.126,0.663,0.28600000000000003
